Category	Subcategory	Subsystem	Role	Features
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	cAMP signaling in bacteria	Adenine phosphoribosyltransferase (EC 2.4.2.7)	fig|6666666.230262.peg.2264
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Salmonella enterica Typhimurium	Hydrogen peroxide-inducible genes activator	fig|6666666.230262.peg.2555
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Salmonella enterica Typhimurium	Transcriptional activator MetR	fig|6666666.230262.peg.1413
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Salmonella enterica Typhimurium	LysR-family transcriptional regulator STM3020	fig|6666666.230262.peg.748
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Salmonella enterica Typhimurium	LysR family transcriptional regulator YnfL	fig|6666666.230262.peg.65
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Salmonella enterica Typhimurium	LysR family transcriptional regulator YnfL	fig|6666666.230262.peg.177
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Salmonella enterica Typhimurium	LysR family transcriptional regulator YnfL	fig|6666666.230262.peg.3749
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	CytR regulation	Cyclic AMP receptor protein	fig|6666666.230262.peg.2157
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	CytR regulation	Transcriptional (co)regulator CytR	fig|6666666.230262.peg.4351
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Orphan regulatory proteins	Copper-sensing two-component system response regulator CusR	fig|6666666.230262.peg.1522
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Orphan regulatory proteins	Transcriptional regulatory protein RstA	fig|6666666.230262.peg.1814
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Orphan regulatory proteins	Transcriptional regulatory protein RstA	fig|6666666.230262.peg.3187
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Orphan regulatory proteins	Glycine cleavage system transcriptional antiactivator GcvR	fig|6666666.230262.peg.4095
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Orphan regulatory proteins	Glycine cleavage system transcriptional activator	fig|6666666.230262.peg.343
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Orphan regulatory proteins	Glycine cleavage system transcriptional activator	fig|6666666.230262.peg.958
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Orphan regulatory proteins	Glycine cleavage system transcriptional activator	fig|6666666.230262.peg.1446
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Orphan regulatory proteins	Glycine cleavage system transcriptional activator	fig|6666666.230262.peg.1713
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Orphan regulatory proteins	Glycine cleavage system transcriptional activator	fig|6666666.230262.peg.2207
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Orphan regulatory proteins	Glycine cleavage system transcriptional activator	fig|6666666.230262.peg.2629
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Orphan regulatory proteins	Glycine cleavage system transcriptional activator	fig|6666666.230262.peg.3182
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Global Two-component Regulator PrrBA in Proteobacteria	Dna binding response regulator PrrA (RegA)	fig|6666666.230262.peg.3111
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Global Two-component Regulator PrrBA in Proteobacteria	Sensor histidine kinase PrrB (RegB) (EC 2.7.3.-)	fig|6666666.230262.peg.3110
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	Hydrogen peroxide-inducible genes activator	fig|6666666.230262.peg.2555
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	LysR family transcriptional regulator YeiE	fig|6666666.230262.peg.2260
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	Transcriptional activator MetR	fig|6666666.230262.peg.1413
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	Cys regulon transcriptional activator CysB	fig|6666666.230262.peg.4109
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	LysR family transcriptional regulator YnfL	fig|6666666.230262.peg.65
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	LysR family transcriptional regulator YnfL	fig|6666666.230262.peg.177
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	LysR family transcriptional regulator YnfL	fig|6666666.230262.peg.3749
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	Chromosome initiation inhibitor	fig|6666666.230262.peg.1524
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	Chromosome initiation inhibitor	fig|6666666.230262.peg.3748
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	LysR-family proteins in Escherichia coli	LysR family transcriptional regulator YbhD	fig|6666666.230262.peg.1406
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	HPr catabolite repression system	HPr kinase/phosphorylase (EC 2.7.1.-) (EC 2.7.4.-)	fig|6666666.230262.peg.2807
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	DNA-binding regulatory proteins, strays	LysR family transcriptional regulator PA2877	fig|6666666.230262.peg.3036
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Stringent Response, (p)ppGpp metabolism	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II	fig|6666666.230262.peg.1166
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Stringent Response, (p)ppGpp metabolism	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2)	fig|6666666.230262.peg.1166
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Stringent Response, (p)ppGpp metabolism	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I	fig|6666666.230262.peg.2529
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Zinc regulated enzymes	Queuosine biosynthesis QueD, PTPS-I	fig|6666666.230262.peg.1817
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Zinc regulated enzymes	Carbonic anhydrase (EC 4.2.1.1)	fig|6666666.230262.peg.987
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Zinc regulated enzymes	Putative metal chaperone, involved in Zn homeostasis, GTPase of COG0523 family	fig|6666666.230262.peg.1862
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Zinc regulated enzymes	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	fig|6666666.230262.peg.1894
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Zinc regulated enzymes	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	fig|6666666.230262.peg.3905
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Zinc regulated enzymes	C4-type zinc finger protein, DksA/TraR family	fig|6666666.230262.peg.2027
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Zinc regulated enzymes	Porphobilinogen synthase (EC 4.2.1.24)	fig|6666666.230262.peg.3255
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Zinc regulated enzymes	Zinc uptake regulation protein ZUR	fig|6666666.230262.peg.380
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Zinc regulated enzymes	Cysteinyl-tRNA synthetase (EC 6.1.1.16)	fig|6666666.230262.peg.2024
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Zinc regulated enzymes	GTP cyclohydrolase I (EC 3.5.4.16) type 1	fig|6666666.230262.peg.4055
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Zinc regulated enzymes	Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)	fig|6666666.230262.peg.2608
Regulation and Cell signaling	Regulation and Cell signaling - no subcategory	Zinc regulated enzymes	Dihydroorotase (EC 3.5.2.3)	fig|6666666.230262.peg.2029
Regulation and Cell signaling	Quorum sensing and biofilm formation	Biofilm Adhesin Biosynthesis	Biofilm PGA synthesis auxiliary protein PgaD	fig|6666666.230262.peg.2010
Regulation and Cell signaling	Quorum sensing and biofilm formation	Biofilm Adhesin Biosynthesis	Biofilm PGA outer membrane secretin PgaA	fig|6666666.230262.peg.2007
Regulation and Cell signaling	Quorum sensing and biofilm formation	Biofilm Adhesin Biosynthesis	Biofilm PGA synthesis deacetylase PgaB (EC 3.-)	fig|6666666.230262.peg.2008
Regulation and Cell signaling	Quorum sensing and biofilm formation	Biofilm Adhesin Biosynthesis	Biofilm PGA synthesis N-glycosyltransferase PgaC (EC 2.4.-.-)	fig|6666666.230262.peg.2009
Regulation and Cell signaling	Regulation of virulence	BarA-UvrY(SirA) two-component regulatory system	Excinuclease ABC subunit C	fig|6666666.230262.peg.184
Regulation and Cell signaling	Regulation of virulence	BarA-UvrY(SirA) two-component regulatory system	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	fig|6666666.230262.peg.183
Regulation and Cell signaling	Regulation of virulence	BarA-UvrY(SirA) two-component regulatory system	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	fig|6666666.230262.peg.2652
Regulation and Cell signaling	Regulation of virulence	BarA-UvrY(SirA) two-component regulatory system	23S rRNA (Uracil-5-) -methyltransferase RumA (EC 2.1.1.-)	fig|6666666.230262.peg.619
Regulation and Cell signaling	Regulation of virulence	BarA-UvrY(SirA) two-component regulatory system	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I	fig|6666666.230262.peg.2529
Regulation and Cell signaling	Regulation of virulence	BarA-UvrY(SirA) two-component regulatory system	BarA-associated response regulator UvrY (= GacA = SirA)	fig|6666666.230262.peg.3106
Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Toxin-antitoxin replicon stabilization systems	HigA protein (antitoxin to HigB)	fig|6666666.230262.peg.920
Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Bacterial Caspases	Polysaccharide deacetylase, caspase activity	fig|6666666.230262.peg.4022
Secondary Metabolism	Hydrocarbons	Alkane synthesis in bacteria 2	NAD(P)H steroid dehydrogenase-like protein in alkane synthesis cluster	fig|6666666.230262.peg.3768
Secondary Metabolism	Hydrocarbons	Alkane synthesis in bacteria 2	3-oxoacyl-[ACP] synthase III in alkane synthesis cluster	fig|6666666.230262.peg.3772
Secondary Metabolism	Hydrocarbons	Alkane synthesis in bacteria 2	AMP-dependent synthetase/ligase in alkane synthesis cluster	fig|6666666.230262.peg.3769
Secondary Metabolism	Hydrocarbons	Alkane synthesis in bacteria 2	Haloalkane dehalogenase-like protein	fig|6666666.230262.peg.3771
Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Tryptophan synthase alpha chain (EC 4.2.1.20)	fig|6666666.230262.peg.1710
Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	fig|6666666.230262.peg.2161
Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Tryptophan synthase beta chain (EC 4.2.1.20)	fig|6666666.230262.peg.1712
Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Phosphoribosylanthranilate isomerase (EC 5.3.1.24)	fig|6666666.230262.peg.1716
DNA Metabolism	DNA repair	Uracil-DNA glycosylase	Uracil-DNA glycosylase, family 1	fig|6666666.230262.peg.2657
DNA Metabolism	DNA repair	Uracil-DNA glycosylase	G:T/U mismatch-specific uracil/thymine DNA-glycosylase	fig|6666666.230262.peg.2486
DNA Metabolism	DNA repair	Uracil-DNA glycosylase	Uracil-DNA glycosylase, putative family 6	fig|6666666.230262.peg.2086
DNA Metabolism	DNA repair	Uracil-DNA glycosylase	Domain often clustered or fused with uracil-DNA glycosylase	fig|6666666.230262.peg.2086
DNA Metabolism	DNA repair	DNA repair, bacterial MutL-MutS system	DNA mismatch repair protein MutS	fig|6666666.230262.peg.433
DNA Metabolism	DNA repair	DNA repair, bacterial MutL-MutS system	DNA mismatch repair protein MutL	fig|6666666.230262.peg.3906
DNA Metabolism	DNA repair	DNA repair, UvrABC system	Excinuclease ABC subunit C	fig|6666666.230262.peg.184
DNA Metabolism	DNA repair	DNA repair, UvrABC system	Excinuclease ABC subunit A paralog of unknown function	fig|6666666.230262.peg.1407
DNA Metabolism	DNA repair	DNA repair, UvrABC system	Excinuclease ABC subunit A	fig|6666666.230262.peg.483
DNA Metabolism	DNA repair	DNA repair, UvrABC system	Excinuclease ABC subunit B	fig|6666666.230262.peg.201
DNA Metabolism	DNA repair	DNA repair, bacterial photolyase	Deoxyribodipyrimidine photolyase (EC 4.1.99.3)	fig|6666666.230262.peg.2388
DNA Metabolism	DNA repair	DNA repair, bacterial DinG and relatives	DinG family ATP-dependent helicase YoaA	fig|6666666.230262.peg.2523
DNA Metabolism	DNA repair	2-phosphoglycolate salvage	Putative phosphatase YieH	fig|6666666.230262.peg.1442
DNA Metabolism	DNA repair	2-phosphoglycolate salvage	Phosphoglycolate phosphatase (EC 3.1.3.18)	fig|6666666.230262.peg.1801
DNA Metabolism	DNA repair	2-phosphoglycolate salvage	Phosphoglycolate phosphatase (EC 3.1.3.18)	fig|6666666.230262.peg.4103
DNA Metabolism	DNA repair	2-phosphoglycolate salvage	Similar to phosphoglycolate phosphatase, clustered with ubiquinone biosynthesis SAM-dependent O-methyltransferase	fig|6666666.230262.peg.2032
DNA Metabolism	DNA repair	RecA and RecX	RecA protein	fig|6666666.230262.peg.2728
DNA Metabolism	DNA repair	RecA and RecX	Regulatory protein RecX	fig|6666666.230262.peg.2727
DNA Metabolism	DNA repair	DNA repair system including RecA, MutS and a hypothetical protein	DNA mismatch repair protein MutS	fig|6666666.230262.peg.433
DNA Metabolism	DNA repair	DNA repair system including RecA, MutS and a hypothetical protein	RecA protein	fig|6666666.230262.peg.2728
DNA Metabolism	DNA repair	DNA repair system including RecA, MutS and a hypothetical protein	Protein Implicated in DNA repair function with RecA and MutS	fig|6666666.230262.peg.2731
DNA Metabolism	DNA repair	DNA repair system including RecA, MutS and a hypothetical protein	Regulatory protein RecX	fig|6666666.230262.peg.2727
DNA Metabolism	DNA repair	DNA repair, bacterial	ADA regulatory protein	fig|6666666.230262.peg.371
DNA Metabolism	DNA repair	DNA repair, bacterial	ADA regulatory protein	fig|6666666.230262.peg.1693
DNA Metabolism	DNA repair	DNA repair, bacterial	SOS-response repressor and protease LexA (EC 3.4.21.88)	fig|6666666.230262.peg.2729
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA repair protein RadC	fig|6666666.230262.peg.146
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA repair protein RadC	fig|6666666.230262.peg.3641
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA repair protein RadC	fig|6666666.230262.peg.4162
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA-cytosine methyltransferase (EC 2.1.1.37)	fig|6666666.230262.peg.1841
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA polymerase IV-like protein ImuB	fig|6666666.230262.peg.2413
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA polymerase IV (EC 2.7.7.7)	fig|6666666.230262.peg.1796
DNA Metabolism	DNA repair	DNA repair, bacterial	Exonuclease SbcC	fig|6666666.230262.peg.3853
DNA Metabolism	DNA repair	DNA repair, bacterial	Endonuclease V (EC 3.1.21.7)	fig|6666666.230262.peg.393
DNA Metabolism	DNA repair	DNA repair, bacterial	Single-stranded DNA-binding protein	fig|6666666.230262.peg.4366
DNA Metabolism	DNA repair	DNA repair, bacterial	Alkylated DNA repair protein AlkB	fig|6666666.230262.peg.2046
DNA Metabolism	DNA repair	DNA repair, bacterial	Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)	fig|6666666.230262.peg.2765
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA repair protein RadA	fig|6666666.230262.peg.455
DNA Metabolism	DNA repair	DNA repair, bacterial	Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)	fig|6666666.230262.peg.3901
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA repair protein RecN	fig|6666666.230262.peg.2296
DNA Metabolism	DNA repair	DNA repair, bacterial	A/G-specific adenine glycosylase (EC 3.2.2.-)	fig|6666666.230262.peg.3088
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA recombination protein RmuC	fig|6666666.230262.peg.4036
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA recombination-dependent growth factor C	fig|6666666.230262.peg.657
DNA Metabolism	DNA repair	DNA repair, bacterial	DNA recombination-dependent growth factor C	fig|6666666.230262.peg.2357
DNA Metabolism	DNA repair	DNA repair, bacterial	G:T/U mismatch-specific uracil/thymine DNA-glycosylase	fig|6666666.230262.peg.2486
DNA Metabolism	DNA repair	DNA repair, bacterial	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)	fig|6666666.230262.peg.371
DNA Metabolism	DNA repair	DNA repair, bacterial	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)	fig|6666666.230262.peg.372
DNA Metabolism	DNA repair	DNA repair, bacterial	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)	fig|6666666.230262.peg.1693
DNA Metabolism	DNA repair	DNA repair, bacterial	RecA protein	fig|6666666.230262.peg.2728
DNA Metabolism	DNA repair	DNA repair, bacterial	Exodeoxyribonuclease III (EC 3.1.11.2)	fig|6666666.230262.peg.564
DNA Metabolism	DNA repair	DNA repair, bacterial	Exodeoxyribonuclease III (EC 3.1.11.2)	fig|6666666.230262.peg.1468
DNA Metabolism	DNA repair	DNA repair, bacterial	Exodeoxyribonuclease III (EC 3.1.11.2)	fig|6666666.230262.peg.3855
DNA Metabolism	DNA repair	DNA repair, bacterial RecFOR pathway	ATP-dependent DNA helicase RecQ	fig|6666666.230262.peg.3513
DNA Metabolism	DNA repair	DNA repair, bacterial RecFOR pathway	Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-)	fig|6666666.230262.peg.3471
DNA Metabolism	DNA repair	DNA repair, bacterial RecFOR pathway	Single-stranded DNA-binding protein	fig|6666666.230262.peg.4366
DNA Metabolism	DNA repair	DNA repair, bacterial RecFOR pathway	Recombination protein RecR	fig|6666666.230262.peg.2898
DNA Metabolism	DNA repair	DNA repair, bacterial RecFOR pathway	RecA protein	fig|6666666.230262.peg.2728
DNA Metabolism	DNA repair	DNA repair, bacterial RecFOR pathway	DNA recombination and repair protein RecO	fig|6666666.230262.peg.617
DNA Metabolism	DNA repair	DNA repair, bacterial RecFOR pathway	DNA recombination and repair protein RecF	fig|6666666.230262.peg.4016
DNA Metabolism	DNA repair	DNA repair, bacterial RecBCD pathway	Exodeoxyribonuclease V beta chain (EC 3.1.11.5)	fig|6666666.230262.peg.4047
DNA Metabolism	DNA repair	DNA repair, bacterial RecBCD pathway	Exodeoxyribonuclease V gamma chain (EC 3.1.11.5)	fig|6666666.230262.peg.4046
DNA Metabolism	DNA repair	DNA repair, bacterial RecBCD pathway	Exodeoxyribonuclease V alpha chain (EC 3.1.11.5)	fig|6666666.230262.peg.4048
DNA Metabolism	DNA repair	Nonhomologous End-Joining in Bacteria	ATP-dependent DNA ligase (EC 6.5.1.1) LigC	fig|6666666.230262.peg.630
DNA Metabolism	DNA repair	Nonhomologous End-Joining in Bacteria	Ku domain protein	fig|6666666.230262.peg.3983
DNA Metabolism	DNA repair	Nonhomologous End-Joining in Bacteria	ATP-dependent DNA ligase (EC 6.5.1.1) clustered with Ku protein, LigD	fig|6666666.230262.peg.1365
DNA Metabolism	DNA repair	Nonhomologous End-Joining in Bacteria	ATP-dependent DNA ligase (EC 6.5.1.1) clustered with Ku protein, LigD	fig|6666666.230262.peg.3982
DNA Metabolism	DNA repair	DNA Repair Base Excision	ATP-dependent DNA ligase (EC 6.5.1.1) LigC	fig|6666666.230262.peg.630
DNA Metabolism	DNA repair	DNA Repair Base Excision	Uracil-DNA glycosylase, family 1	fig|6666666.230262.peg.2657
DNA Metabolism	DNA repair	DNA Repair Base Excision	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	fig|6666666.230262.peg.1465
DNA Metabolism	DNA repair	DNA Repair Base Excision	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	fig|6666666.230262.peg.2821
DNA Metabolism	DNA repair	DNA Repair Base Excision	Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)	fig|6666666.230262.peg.3963
DNA Metabolism	DNA repair	DNA Repair Base Excision	Ku domain protein	fig|6666666.230262.peg.3983
DNA Metabolism	DNA repair	DNA Repair Base Excision	ATP-dependent DNA ligase (EC 6.5.1.1) clustered with Ku protein, LigD	fig|6666666.230262.peg.1365
DNA Metabolism	DNA repair	DNA Repair Base Excision	ATP-dependent DNA ligase (EC 6.5.1.1) clustered with Ku protein, LigD	fig|6666666.230262.peg.3982
DNA Metabolism	DNA repair	DNA Repair Base Excision	Endonuclease III (EC 4.2.99.18)	fig|6666666.230262.peg.271
DNA Metabolism	DNA repair	DNA Repair Base Excision	Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-)	fig|6666666.230262.peg.3471
DNA Metabolism	DNA repair	DNA Repair Base Excision	DNA ligase (EC 6.5.1.2)	fig|6666666.230262.peg.973
DNA Metabolism	DNA repair	DNA Repair Base Excision	DNA polymerase I (EC 2.7.7.7)	fig|6666666.230262.peg.533
DNA Metabolism	DNA repair	DNA Repair Base Excision	DNA polymerase I (EC 2.7.7.7)	fig|6666666.230262.peg.1668
DNA Metabolism	DNA repair	DNA Repair Base Excision	DNA polymerase I (EC 2.7.7.7)	fig|6666666.230262.peg.2565
DNA Metabolism	DNA repair	DNA Repair Base Excision	Exodeoxyribonuclease I (EC 3.1.11.1)	fig|6666666.230262.peg.991
DNA Metabolism	DNA repair	DNA repair, bacterial UvrD and related helicases	DNA helicase IV	fig|6666666.230262.peg.4179
DNA Metabolism	DNA repair	DNA repair, bacterial UvrD and related helicases	DNA helicase IV	fig|6666666.230262.peg.4215
DNA Metabolism	DNA repair	DNA repair, bacterial UvrD and related helicases	ATP-dependent DNA helicase Rep	fig|6666666.230262.peg.648
DNA Metabolism	DNA repair	DNA repair, bacterial UvrD and related helicases	ATP-dependent DNA helicase UvrD/PcrA	fig|6666666.230262.peg.540
DNA Metabolism	DNA Metabolism - no subcategory	DNA ligases	ATP-dependent DNA ligase (EC 6.5.1.1) LigC	fig|6666666.230262.peg.630
DNA Metabolism	DNA Metabolism - no subcategory	DNA ligases	Ku domain protein	fig|6666666.230262.peg.3983
DNA Metabolism	DNA Metabolism - no subcategory	DNA ligases	ATP-dependent DNA ligase (EC 6.5.1.1) clustered with Ku protein, LigD	fig|6666666.230262.peg.1365
DNA Metabolism	DNA Metabolism - no subcategory	DNA ligases	ATP-dependent DNA ligase (EC 6.5.1.1) clustered with Ku protein, LigD	fig|6666666.230262.peg.3982
DNA Metabolism	DNA Metabolism - no subcategory	YcfH	Deoxyribonuclease TatD	fig|6666666.230262.peg.3843
DNA Metabolism	DNA Metabolism - no subcategory	YcfH	Putative deoxyribonuclease YjjV	fig|6666666.230262.peg.1041
DNA Metabolism	DNA Metabolism - no subcategory	DNA structural proteins, bacterial	Chromosome partition protein smc	fig|6666666.230262.peg.977
DNA Metabolism	DNA Metabolism - no subcategory	DNA structural proteins, bacterial	Integration host factor beta subunit	fig|6666666.230262.peg.2245
DNA Metabolism	DNA Metabolism - no subcategory	DNA structural proteins, bacterial	Integration host factor alpha subunit	fig|6666666.230262.peg.1671
DNA Metabolism	DNA Metabolism - no subcategory	DNA structural proteins, bacterial	DNA-binding protein HU-beta	fig|6666666.230262.peg.2927
DNA Metabolism	DNA Metabolism - no subcategory	DNA structural proteins, bacterial	DNA-binding protein Fis	fig|6666666.230262.peg.2646
DNA Metabolism	DNA replication	DNA topoisomerases, Type I, ATP-independent	Hypothetical protein PA2244 (similar to DNA topoisomerase IB, but possibly involved in glycosyl-transfer)	fig|6666666.230262.peg.664
DNA Metabolism	DNA replication	DNA topoisomerases, Type I, ATP-independent	DNA topoisomerase I (EC 5.99.1.2)	fig|6666666.230262.peg.896
DNA Metabolism	DNA replication	DNA topoisomerases, Type I, ATP-independent	DNA topoisomerase I (EC 5.99.1.2)	fig|6666666.230262.peg.3502
DNA Metabolism	DNA replication	DNA topoisomerases, Type I, ATP-independent	DNA topoisomerase III (EC 5.99.1.2) in PFGI-1-like cluster	fig|6666666.230262.peg.94
DNA Metabolism	DNA replication	DNA replication strays	Error-prone repair homolog of DNA polymerase III alpha subunit (EC 2.7.7.7)	fig|6666666.230262.peg.2414
DNA Metabolism	DNA replication	DNA replication strays	DNA polymerase IV-like protein ImuB	fig|6666666.230262.peg.2413
DNA Metabolism	DNA replication	DNA topoisomerases, Type II, ATP-dependent	DNA gyrase subunit B (EC 5.99.1.3)	fig|6666666.230262.peg.4015
DNA Metabolism	DNA replication	DNA topoisomerases, Type II, ATP-dependent	DNA gyrase subunit A (EC 5.99.1.3)	fig|6666666.230262.peg.968
DNA Metabolism	DNA replication	DNA topoisomerases, Type II, ATP-dependent	Topoisomerase IV subunit B (EC 5.99.1.-)	fig|6666666.230262.peg.3790
DNA Metabolism	DNA replication	DNA topoisomerases, Type II, ATP-dependent	Topoisomerase IV subunit A (EC 5.99.1.-)	fig|6666666.230262.peg.300
DNA Metabolism	DNA recombination	RuvABC plus a hypothetical	FIG000859: hypothetical protein YebC	fig|6666666.230262.peg.3172
DNA Metabolism	DNA recombination	RuvABC plus a hypothetical	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)	fig|6666666.230262.peg.3171
DNA Metabolism	DNA recombination	RuvABC plus a hypothetical	Holliday junction DNA helicase RuvA	fig|6666666.230262.peg.3170
DNA Metabolism	DNA recombination	RuvABC plus a hypothetical	Holliday junction DNA helicase RuvB	fig|6666666.230262.peg.3534
DNA Metabolism	DNA uptake, competence	DNA processing cluster	Protein involved in catabolism of external DNA	fig|6666666.230262.peg.387
DNA Metabolism	DNA uptake, competence	DNA processing cluster	FIG000557: hypothetical protein co-occurring with RecR	fig|6666666.230262.peg.2899
DNA Metabolism	DNA uptake, competence	DNA processing cluster	Recombination protein RecR	fig|6666666.230262.peg.2898
DNA Metabolism	DNA uptake, competence	DNA processing cluster	DNA polymerase III subunits gamma and tau (EC 2.7.7.7)	fig|6666666.230262.peg.2900
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Cardiolipin synthesis	Cardiolipin synthetase (EC 2.7.8.-)	fig|6666666.230262.peg.542
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Cardiolipin synthesis	Cardiolipin synthetase (EC 2.7.8.-)	fig|6666666.230262.peg.4007
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Alcohol dehydrogenase (EC 1.1.1.1)	fig|6666666.230262.peg.1238
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Alcohol dehydrogenase (EC 1.1.1.1)	fig|6666666.230262.peg.2989
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Alcohol dehydrogenase (EC 1.1.1.1)	fig|6666666.230262.peg.3980
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Alcohol dehydrogenase (EC 1.1.1.1)	fig|6666666.230262.peg.4217
