Name	KEGG	Smlt	RAST	logFC	logCPM	LR	PValue	FDR	Protein Family	Metabolism	which	Category	Subcategory	Subsystem	Role
Name=Glyoxalase/bleomycin_resistance_protein/dioxygenase			fig|6666666.230262.peg.599	1.191148518	6.131253308	46.59191642	8.74E-12	2.89E-10			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=RNA_polymerase_sigma_factor_RpoE			fig|6666666.230262.peg.609	1.348573279	9.04187951	148.7002305	3.33E-34	7.60E-32			5up	RNA Metabolism	Transcription	"Transcription initiation, bacterial sigma factors"	RNA polymerase sigma factor RpoE
Name=Transcriptional_regulator%2C_AraC_family			fig|6666666.230262.peg.690	1.978127643	5.37422858	107.728184	3.08E-25	3.51E-23			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=hypothetical_protein			fig|6666666.230262.peg.691	1.139786883	5.254435165	31.38001948	2.12E-08	4.51E-07			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=L-lactate_permease	K00427		fig|6666666.230262.peg.694	1.35330463	6.271598682	84.23739301	4.39E-20	3.28E-18	Transporters		5up	Carbohydrates	Organic acids	Lactate utilization	L-lactate permease
Name=hypothetical_protein			fig|6666666.230262.peg.766	2.126954978	2.844990284	19.81814011	8.52E-06	9.66E-05			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=5%2C10-methylenetetrahydrofolate_reductase_(EC_1.5.1.20)	K00297	Smlt2582	fig|6666666.230262.peg.836	1.647660751	7.172297272	200.4967456	1.63E-45	7.83E-43	Enzymes	"Â Â Energy metabolism, Metabolism of cofactors and vitamins"	5up	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Folate and pterines	5-FCL-like protein	"5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)"
Name=5%2C10-methylenetetrahydrofolate_reductase_(EC_1.5.1.20)	K00297	Smlt2582	fig|6666666.230262.peg.836	1.647660751	7.172297272	200.4967456	1.63E-45	7.83E-43	Enzymes	"Â Â Energy metabolism, Metabolism of cofactors and vitamins"	5up	Amino Acids and Derivatives	"Lysine, threonine, methionine, and cysteine"	Methionine Biosynthesis	"5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)"
Name=5%2C10-methylenetetrahydrofolate_reductase_(EC_1.5.1.20)	K00297	Smlt2582	fig|6666666.230262.peg.836	1.647660751	7.172297272	200.4967456	1.63E-45	7.83E-43	Enzymes	"Â Â Energy metabolism, Metabolism of cofactors and vitamins"	5up	Carbohydrates	One-carbon Metabolism	Serine-glyoxylate cycle	"5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)"
Name=5%2C10-methylenetetrahydrofolate_reductase_(EC_1.5.1.20)	K00297	Smlt2582	fig|6666666.230262.peg.836	1.647660751	7.172297272	200.4967456	1.63E-45	7.83E-43	Enzymes	"Â Â Energy metabolism, Metabolism of cofactors and vitamins"	5up	Carbohydrates	One-carbon Metabolism	One-carbon metabolism by tetrahydropterines	"5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)"
Name=hypothetical_protein			fig|6666666.230262.peg.851	1.42137181	3.862298649	19.08260899	1.25E-05	0.000135232			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Transcriptional_regulator%2C_MarR_family			fig|6666666.230262.peg.873	2.520896636	4.708384983	90.97025751	1.46E-21	1.24E-19			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=FIG01111074:_hypothetical_protein			fig|6666666.230262.peg.875	1.161922259	4.692673771	20.92260968	4.78E-06	5.84E-05			5up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Thiamin_biosynthesis_protein_ThiC	K03147	Smlt3909	fig|6666666.230262.peg.1233	1.222412544	8.2141991	159.5105758	1.45E-36	6.27E-33	Enzymes	Metabolism of cofactors and vitamins	9up	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	"Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory"	Thiamin biosynthesis	Thiamin biosynthesis protein ThiC
Name=ATP_phosphoribosyltransferase_(EC_2.4.2.17)	"	K00765"	Smlt2162	fig|6666666.230262.peg.2615	1.370425528	7.15493418	120.9435566	3.93E-28	4.26E-25	Enzymes	Amino Acid Metabolism	9up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=His_repressor			fig|6666666.230262.peg.2616	1.655030736	7.063876218	128.6970692	7.90E-30	1.14E-26			9up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Galactosamine-6-phosphate_isomerase_(EC_5.3.1.-)	K02082		fig|6666666.230262.peg.3404	1.163276423	4.992133025	16.78671969	4.18E-05	0.004529647	Enzymes		9up	Carbohydrates	Aminosugars	N-Acetyl-Galactosamine and Galactosamine Utilization	Galactosamine-6-phosphate isomerase (EC 5.3.1.-)
Name=Ferrichrome-iron_receptor	K02014		fig|6666666.230262.peg.3787	1.023821029	7.469189249	99.59239795	1.87E-23	1.62E-20	Transporters		9up	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=Succinate-semialdehyde_dehydrogenase_[NAD]_(EC_1.2.1.24)%3B_Succinate-semialdehyde_dehydrogenase_[NAD(P)+]_(EC_1.2.1.16)	K08324	Smlt2230	fig|6666666.230262.peg.3167	-1.511333264	6.69819198	153.1317207	3.58E-35	7.77E-32	Enzymes	"Carbohydrate metabolism, Amino acid metabolism,  Metabolism of cofactors and vitamins"	9down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
Name=hypothetical_protein			fig|6666666.230262.peg.4194	-1.96276067	2.629583458	10.67430881	0.001086338	0.046137163			9down	Uncharacterized	Uncharacterized	Uncharacterized	Uncharacterized
